1359.69,0.717045,1
1245.61,0.683995,1
1388.77,0.660383,1
727.268,0.676515,2
599.547,0.676882,2
639.456,0.673999,2
3310.28,0.570683,3
3779.61,0.555257,3
4312.9,0.591763,3
460.898,0.723803,4
434.982,0.725958,4
510.031,0.716594,4
883.467,0.634057,5
825.608,0.744479,5
1071.07,0.680839,5
1489.73,0.738094,6
2031.55,0.680837,6
2126.24,0.678396,6
776.76,0.74218,7
748.301,0.769387,7
836.72,0.717922,7
1719.33,0.693368,8
1720.48,0.667813,8
2044.11,0.717044,8
4537.46,0.632313,9
4811.52,0.620791,9
5400.64,0.666322,9
218.951,0.766159,10
265.2,0.698091,10
206.149,0.714607,10
