1250.66,0.613873,1
1013.38,0.636497,1
1069.17,0.636597,1
661.443,0.618426,2
547.741,0.602581,2
574.101,0.600023,2
1578.9,0.534139,3
1771.2,0.513515,3
1900.55,0.549646,3
341.476,0.648286,4
376.505,0.628617,4
440.054,0.697429,4
539.251,0.519679,5
527.677,0.509338,5
704.117,0.526472,5
1327.72,0.566576,6
1598.26,0.49512,6
1332.2,0.497854,6
561.853,0.600979,7
444.83,0.644301,7
568.731,0.563193,7
1557.22,0.587882,8
1508.19,0.586236,8
2060.65,0.567811,8
3612.54,0.497772,9
3718.53,0.511063,9
4874.31,0.485407,9
232.047,0.681857,10
293.152,0.603198,10
259.17,0.61608,10
